Test Index,Amount of Moves,Nodes Visited,Time Taken (s)
1,20,1607,0.00513125
2,20,3019,0.00830476
3,20,4295,0.00964351
4,18,1393,0.00388734
5,20,9593,0.0221292
6,20,7148,0.0168362
7,20,3036,0.00728166
8,20,3394,0.00820404
9,18,4400,0.0118006
10,20,4065,0.00943789
Average,19.6,4195.0,0.010265644999999999
