Test Index,Amount of Moves,Nodes Visited,Time Taken (s)
1,20,116,0.00207875
2,20,304,0.00282722
3,20,185,0.00144403
4,18,95,0.00188177
5,20,167,0.00234857
6,20,73,0.0016252
7,20,115,0.0021333
8,20,182,0.00225997
9,18,260,0.0026606
10,20,113,0.00194352
Average,19.6,161.0,0.0021202929999999997
