Test Index,Amount of Moves,Nodes Visited,Time Taken (s)
1,20,119,0.00188065
2,22,955,0.00316359
3,24,1331,0.00361353
4,24,903,0.00310355
5,22,525,0.00232853
6,20,370,0.00204665
7,22,940,0.00361239
8,16,51,0.00157291
9,22,237,0.00212043
10,16,130,0.00174779
Average,20.8,556.1,0.0025190020000000002
