Test Index,Amount of Moves,Nodes Visited,Time Taken (s)
1,20,358,0.00431059
2,20,82,0.00149719
3,14,132,0.00221782
4,20,255,0.00277495
5,20,272,0.00279734
6,18,160,0.00234001
7,16,133,0.00193131
8,14,17,0.00162764
9,20,254,0.00235525
10,20,537,0.00249901
Average,18.2,220.0,0.002435111
