Test Index,Amount of Moves,Nodes Visited,Time Taken (s)
1,20,4978,0.00917066
2,22,11851,0.0204107
3,24,26663,0.0504047
4,24,24148,0.041762
5,22,11941,0.0212654
6,20,4849,0.008208
7,22,10493,0.0189642
8,16,820,0.00197763
9,22,12005,0.0213419
10,16,946,0.00197734
Average,20.8,10869.4,0.019548252999999995
